Transcription factor,ensembl_id,UniProt AC,pwm_id,SEM,baseline,cell_type,chip_ENCODE_accession,dnase_ENCODE_accession
TFAP2B,ENSG00000008196,Q92481,AP2B_HUMAN.H11MO.0.B,AP2B_HUMAN.SK-N-SH.sem,0.447187646,SK-N-SH,ENCFF303ORH,ENCFF752OZB
ARNT,ENSG00000143437,P27540,ARNT_HUMAN.H11MO.0.B,ARNT_HUMAN.GM12878.sem,0.274854427,GM12878,ENCFF538DNI,ENCFF759OLD
ATF1,ENSG00000123268,P18846,ATF1_HUMAN.H11MO.0.B,ATF1_HUMAN.HepG2.sem,0.11237492,HepG2,ENCFF042GYT,ENCFF897NME
ATF1,ENSG00000123268,P18846,ATF1_HUMAN.H11MO.0.B,ATF1_HUMAN.K562.sem,0.127459823,K562,ENCFF885JPB,ENCFF274YGF
ATF1,ENSG00000123268,P18846,ATF1_HUMAN.H11MO.0.B,ATF1_HUMAN.WTC11.sem,0.596297894,WTC11,ENCFF150KVX,ENCFF854DSG
ATF2,ENSG00000115966,P15336,ATF2_HUMAN.H11MO.0.B,ATF2_HUMAN.HEK293.sem,0.057802264,HEK293,ENCFF406PGD,ENCFF285OXK
ATF2,ENSG00000115966,P15336,ATF2_HUMAN.H11MO.0.B,ATF2_HUMAN.HepG2.sem,0.374051025,HepG2,ENCFF899JAX,ENCFF897NME
ATF2,ENSG00000115966,P15336,ATF2_HUMAN.H11MO.0.B,ATF2_HUMAN.K562.sem,0.283999411,K562,ENCFF611KGQ,ENCFF274YGF
ATF3,ENSG00000162772,P18847,ATF3_HUMAN.H11MO.0.A,ATF3_HUMAN.HepG2.sem,0.223931791,HepG2,ENCFF197JBM,ENCFF897NME
ATF3,ENSG00000162772,P18847,ATF3_HUMAN.H11MO.0.A,ATF3_HUMAN.K562.sem,0.510136503,K562,ENCFF561SGX,ENCFF274YGF
ATF3,ENSG00000162772,P18847,ATF3_HUMAN.H11MO.0.A,ATF3_HUMAN.WTC11.sem,0.506772693,WTC11,ENCFF341RJA,ENCFF854DSG
ATF4,ENSG00000128272,P18848,ATF4_HUMAN.H11MO.0.A,ATF4_HUMAN.HepG2.sem,0.308572745,HepG2,ENCFF886RBI,ENCFF897NME
ATF4,ENSG00000128272,P18848,ATF4_HUMAN.H11MO.0.A,ATF4_HUMAN.K562.sem,0.337133395,K562,ENCFF211RPU,ENCFF274YGF
ATF6,ENSG00000118217,P18850,ATF6A_HUMAN.H11MO.0.B,ATF6A_HUMAN.HepG2.sem,0.742332927,HepG2,ENCFF460UZH,ENCFF897NME
ATF6,ENSG00000118217,P18850,ATF6A_HUMAN.H11MO.0.B,ATF6A_HUMAN.K562.sem,0.762015296,K562,ENCFF918NNJ,ENCFF274YGF
BACH1,ENSG00000156273,O14867,BACH1_HUMAN.H11MO.0.A,BACH1_HUMAN.H1.sem,0.320193461,H1,ENCFF125QXS,ENCFF983UCL
BACH1,ENSG00000156273,O14867,BACH1_HUMAN.H11MO.0.A,BACH1_HUMAN.K562.sem,0.254959352,K562,ENCFF567RJL,ENCFF274YGF
BACH2,ENSG00000112182,Q9BYV9,BACH2_HUMAN.H11MO.0.A,BACH2_HUMAN.SK-N-SH.sem,0.751891903,SK-N-SH,ENCFF936MSK,ENCFF752OZB
BATF,ENSG00000156127,Q16520,BATF_HUMAN.H11MO.0.A,BATF_HUMAN.GM12878.sem,0.289928886,GM12878,ENCFF716MIY,ENCFF759OLD
BCL6,ENSG00000113916,P41182,BCL6_HUMAN.H11MO.0.A,BCL6_HUMAN.HepG2.sem,0.548227415,HepG2,ENCFF223VEK,ENCFF897NME
BHLHA15,ENSG00000180535,Q7RTS1,BHA15_HUMAN.H11MO.0.B,BHA15_HUMAN.HepG2.sem,0.807140656,HepG2,ENCFF990LNT,ENCFF897NME
BHLHE40,ENSG00000134107,O14503,BHE40_HUMAN.H11MO.0.A,BHE40_HUMAN.GM12878.sem,0.260393932,GM12878,ENCFF325FDI,ENCFF759OLD
BHLHE40,ENSG00000134107,O14503,BHE40_HUMAN.H11MO.0.A,BHE40_HUMAN.HepG2.sem,0.202200973,HepG2,ENCFF087SAL,ENCFF897NME
BHLHE40,ENSG00000134107,O14503,BHE40_HUMAN.H11MO.0.A,BHE40_HUMAN.K562.sem,0.199900682,K562,ENCFF110ZZE,ENCFF274YGF
ARNTL,ENSG00000133794,O00327,BMAL1_HUMAN.H11MO.0.A,BMAL1_HUMAN.HepG2.sem,0.330398858,HepG2,ENCFF363NHH,ENCFF897NME
ARNTL,ENSG00000133794,O00327,BMAL1_HUMAN.H11MO.0.A,BMAL1_HUMAN.SK-N-SH.sem,0.375517553,SK-N-SH,ENCFF924RGW,ENCFF752OZB
CEBPA,ENSG00000245848,P49715,CEBPA_HUMAN.H11MO.0.A,CEBPA_HUMAN.HepG2.sem,0.283117928,HepG2,ENCFF381JQO,ENCFF897NME
CEBPB,ENSG00000172216,P17676,CEBPB_HUMAN.H11MO.0.A,CEBPB_HUMAN.GM12878.sem,0.208676577,GM12878,ENCFF660MMF,ENCFF759OLD
CEBPB,ENSG00000172216,P17676,CEBPB_HUMAN.H11MO.0.A,CEBPB_HUMAN.HepG2.sem,0.198568219,HepG2,ENCFF406BBU,ENCFF897NME
CEBPB,ENSG00000172216,P17676,CEBPB_HUMAN.H11MO.0.A,CEBPB_HUMAN.K562.sem,0.162279058,K562,ENCFF434POQ,ENCFF274YGF
CEBPD,ENSG00000221869,P49716,CEBPD_HUMAN.H11MO.0.C,CEBPD_HUMAN.HepG2.sem,0.267850067,HepG2,ENCFF344JBB,ENCFF897NME
CEBPG,ENSG00000153879,P53567,CEBPG_HUMAN.H11MO.0.B,CEBPG_HUMAN.HepG2.sem,0.256473688,HepG2,ENCFF544WCT,ENCFF897NME
CEBPG,ENSG00000153879,P53567,CEBPG_HUMAN.H11MO.0.B,CEBPG_HUMAN.K562.sem,0.101037334,K562,ENCFF934VTV,ENCFF274YGF
CEBPG,ENSG00000153879,P53567,CEBPG_HUMAN.H11MO.0.B,CEBPG_HUMAN.MCF-7.sem,0.210552636,MCF-7,ENCFF288JYT,ENCFF835KCG
CLOCK,ENSG00000134852,O15516,CLOCK_HUMAN.H11MO.0.C,CLOCK_HUMAN.K562.sem,0.323999517,K562,ENCFF208ICL,ENCFF274YGF
CLOCK,ENSG00000134852,O15516,CLOCK_HUMAN.H11MO.0.C,CLOCK_HUMAN.MCF-7.sem,0.152503553,MCF-7,ENCFF045RXD,ENCFF835KCG
EBF1,ENSG00000164330,Q9UH73,COE1_HUMAN.H11MO.0.A,COE1_HUMAN.GM12878.sem,0.310301232,GM12878,ENCFF810XRY,ENCFF759OLD
NR2F1,ENSG00000175745,P10589,COT1_HUMAN.H11MO.0.C,COT1_HUMAN.GM12878.sem,0.376784465,GM12878,ENCFF006ARY,ENCFF759OLD
NR2F1,ENSG00000175745,P10589,COT1_HUMAN.H11MO.0.C,COT1_HUMAN.HepG2.sem,0.369775202,HepG2,ENCFF376TWD,ENCFF897NME
NR2F1,ENSG00000175745,P10589,COT1_HUMAN.H11MO.0.C,COT1_HUMAN.K562.sem,0.301731501,K562,ENCFF463IKW,ENCFF274YGF
